order_id,customer_id,captain_id,restaurant_id,district,order_time,delivery_time_min,prep_time_min,weather,traffic_level,order_value_sar,status,hour_of_day,day_of_week,is_peak_hour,is_delayed
ORD000001,CUST02628,CAP128,REST072,النخيل,2026-03-26 13:53:00,58,17,عاصف,خفيف,166.03,delayed,13,Thursday,1,1
ORD000002,CUST00552,CAP195,REST056,الورود,2025-05-14 13:31:00,72,36,حار جداً,شديد الكثافة,209.19,cancelled,13,Wednesday,1,1
ORD000003,CUST00493,CAP014,REST055,المروج,2025-11-02 21:40:00,71,32,صافي,شديد الكثافة,278.95,delayed,21,Sunday,1,1
ORD000004,CUST04812,CAP001,REST034,حطين,2025-01-25 21:04:00,41,10,غائم,كثيف,55.47,delivered,21,Saturday,1,0
ORD000005,CUST03216,CAP066,REST003,النخيل,2025-02-01 14:40:00,46,15,حار جداً,متوسط,105.2,delivered,14,Saturday,0,0
ORD000006,CUST03186,CAP044,REST010,حطين,2026-03-26 16:25:00,53,7,عاصف,كثيف,276.8,delayed,16,Thursday,0,1
ORD000007,CUST03065,CAP015,REST078,المروج,2025-12-23 14:40:00,42,22,غائم,كثيف,38.66,delivered,14,Tuesday,0,0
ORD000008,CUST03393,CAP035,REST049,النخيل,2025-12-28 21:12:00,43,14,بارد,خفيف,116.48,delivered,21,Sunday,1,0
ORD000009,CUST03292,CAP084,REST004,الياسمين,2026-04-15 20:12:00,58,15,عاصف,شديد الكثافة,295.92,delayed,20,Wednesday,1,1
ORD000010,CUST01495,CAP028,REST038,المروج,2025-12-13 21:30:00,56,19,صافي,كثيف,26.49,delayed,21,Saturday,1,1
ORD000011,CUST01538,CAP082,REST002,الملقا,2025-06-12 11:26:00,42,15,غائم,خفيف,177.58,delivered,11,Thursday,0,0
ORD000012,CUST01977,CAP063,REST056,الورود,2025-07-06 10:44:00,58,34,صافي,كثيف,238.07,delayed,10,Sunday,0,1
ORD000013,CUST01183,CAP165,REST003,النخيل,2025-10-09 10:25:00,60,18,صافي,شديد الكثافة,51.96,delayed,10,Thursday,0,1
ORD000014,CUST02693,CAP183,REST069,النخيل,2026-02-23 15:13:00,44,21,حار جداً,خفيف,123.39,delivered,15,Monday,0,0
ORD000015,CUST00540,CAP191,REST058,الربوة,2025-08-17 15:54:00,50,12,حار جداً,شديد الكثافة,260.96,delivered,15,Sunday,0,0
ORD000016,CUST02200,CAP154,REST019,النخيل,2025-11-26 07:21:00,22,5,بارد,متوسط,175.95,cancelled,7,Wednesday,0,0
ORD000017,CUST01746,CAP170,REST053,الملقا,2025-03-26 18:12:00,43,6,عاصف,خفيف,271.91,delivered,18,Wednesday,0,0
ORD000018,CUST03064,CAP115,REST074,حطين,2026-02-21 22:20:00,72,30,حار جداً,شديد الكثافة,251.68,delayed,22,Saturday,0,1
ORD000019,CUST03392,CAP195,REST055,المروج,2025-08-24 07:11:00,69,34,بارد,شديد الكثافة,226.78,delayed,7,Sunday,0,1
ORD000020,CUST04646,CAP017,REST041,الشهداء,2026-03-03 14:30:00,45,10,صافي,متوسط,123.61,delivered,14,Tuesday,0,0
ORD000021,CUST02454,CAP062,REST052,العليا,2025-02-07 19:57:00,37,10,بارد,كثيف,86.21,delivered,19,Friday,1,0
ORD000022,CUST03940,CAP139,REST002,الملقا,2026-03-24 22:03:00,42,17,غائم,خفيف,17.91,delivered,22,Tuesday,0,0
ORD000023,CUST01781,CAP047,REST076,النخيل,2025-12-18 17:05:00,39,13,عاصف,كثيف,114.1,delivered,17,Thursday,0,0
ORD000024,CUST04313,CAP045,REST076,النخيل,2025-02-19 23:01:00,51,16,بارد,خفيف,340.21,delayed,23,Wednesday,0,1
ORD000025,CUST00688,CAP022,REST047,النخيل,2026-02-28 08:26:00,50,17,صافي,كثيف,115.32,cancelled,8,Saturday,0,0
ORD000026,CUST00217,CAP013,REST060,النخيل,2026-03-07 12:18:00,49,14,غائم,شديد الكثافة,231.97,delivered,12,Saturday,1,0
ORD000027,CUST03036,CAP165,REST016,الورود,2025-10-13 10:22:00,47,24,غائم,خفيف,45.32,cancelled,10,Monday,0,0
ORD000028,CUST02824,CAP046,REST067,حطين,2025-07-11 19:41:00,58,32,غائم,خفيف,93.68,delayed,19,Friday,1,1
ORD000029,CUST04478,CAP167,REST078,المروج,2025-10-09 20:18:00,84,30,عاصف,كثيف,128.79,delayed,20,Thursday,1,1
ORD000030,CUST04538,CAP066,REST076,النخيل,2025-04-25 15:03:00,54,20,حار جداً,شديد الكثافة,93.06,delayed,15,Friday,0,1
ORD000031,CUST04392,CAP125,REST066,العليا,2026-03-17 15:59:00,55,14,عاصف,متوسط,142.16,delayed,15,Tuesday,0,1
ORD000032,CUST04917,CAP120,REST080,الملقا,2025-09-25 08:51:00,52,16,حار جداً,كثيف,336.95,delayed,8,Thursday,0,1
ORD000033,CUST02080,CAP104,REST071,حطين,2025-12-29 16:07:00,25,7,صافي,متوسط,327.84,delivered,16,Monday,0,0
ORD000034,CUST03325,CAP061,REST003,النخيل,2025-04-19 18:55:00,44,20,حار جداً,متوسط,121.16,delivered,18,Saturday,0,0
ORD000035,CUST00971,CAP035,REST001,الملقا,2025-08-06 19:12:00,61,25,غائم,شديد الكثافة,182.0,delayed,19,Wednesday,1,1
ORD000036,CUST02159,CAP047,REST072,النخيل,2025-04-04 08:11:00,37,12,صافي,متوسط,191.42,delivered,8,Friday,0,0
ORD000037,CUST01918,CAP073,REST067,حطين,2025-08-11 08:09:00,76,39,بارد,خفيف,133.31,delayed,8,Monday,0,1
ORD000038,CUST00862,CAP122,REST022,الملقا,2025-05-30 17:30:00,55,31,صافي,كثيف,321.42,delayed,17,Friday,0,1
ORD000039,CUST00755,CAP161,REST021,حطين,2025-07-18 16:26:00,81,37,عاصف,خفيف,280.27,delayed,16,Friday,0,1
ORD000040,CUST01221,CAP041,REST015,الربوة,2025-09-25 19:46:00,39,9,حار جداً,كثيف,206.56,delivered,19,Thursday,1,0
ORD000041,CUST04293,CAP070,REST073,العليا,2025-02-14 17:50:00,60,29,غائم,متوسط,197.96,delayed,17,Friday,0,1
ORD000042,CUST00184,CAP076,REST071,حطين,2026-05-15 07:31:00,44,8,صافي,متوسط,292.3,delivered,7,Friday,0,0
ORD000043,CUST03418,CAP116,REST026,الملقا,2025-02-04 20:38:00,59,18,عاصف,شديد الكثافة,163.31,delayed,20,Tuesday,1,1
ORD000044,CUST01828,CAP011,REST008,النخيل,2025-02-15 17:38:00,26,10,صافي,خفيف,248.27,delivered,17,Saturday,0,0
ORD000045,CUST00740,CAP137,REST013,النخيل,2025-10-16 14:30:00,40,6,غائم,خفيف,289.57,delivered,14,Thursday,0,0
ORD000046,CUST00344,CAP020,REST078,المروج,2025-10-26 21:54:00,53,26,بارد,متوسط,318.68,delayed,21,Sunday,1,1
ORD000047,CUST00847,CAP077,REST024,الملقا,2026-05-22 22:11:00,53,26,صافي,خفيف,237.88,delayed,22,Friday,0,1
ORD000048,CUST02887,CAP168,REST013,النخيل,2025-12-23 18:52:00,31,10,عاصف,متوسط,241.12,delivered,18,Tuesday,0,0
ORD000049,CUST00799,CAP184,REST039,السليمانية,2025-12-31 09:36:00,43,8,حار جداً,خفيف,28.42,delivered,9,Wednesday,0,0
ORD000050,CUST01508,CAP086,REST040,حطين,2025-04-25 10:07:00,41,12,صافي,شديد الكثافة,204.69,delivered,10,Friday,0,0
ORD000051,CUST00770,CAP144,REST003,النخيل,2025-02-06 21:00:00,66,21,صافي,شديد الكثافة,276.64,delayed,21,Thursday,1,1
ORD000052,CUST01460,CAP094,REST079,المروج,2025-03-11 16:57:00,44,17,عاصف,متوسط,36.18,delivered,16,Tuesday,0,0
ORD000053,CUST01448,CAP179,REST008,النخيل,2025-12-16 13:39:00,46,13,غائم,خفيف,227.77,delivered,13,Tuesday,1,0
ORD000054,CUST04951,CAP144,REST028,المروج,2025-05-30 10:29:00,58,25,حار جداً,خفيف,68.51,delayed,10,Friday,0,1
ORD000055,CUST02480,CAP171,REST058,الربوة,2025-02-03 12:11:00,54,17,حار جداً,متوسط,29.18,delayed,12,Monday,1,1
ORD000056,CUST03982,CAP068,REST024,الملقا,2025-05-16 15:48:00,62,34,غائم,شديد الكثافة,206.8,delayed,15,Friday,0,1
ORD000057,CUST02989,CAP022,REST042,الورود,2025-08-14 07:42:00,48,14,غائم,متوسط,194.85,delivered,7,Thursday,0,0
ORD000058,CUST03110,CAP046,REST032,المروج,2025-08-12 12:39:00,61,33,بارد,خفيف,183.86,delayed,12,Tuesday,1,1
ORD000059,CUST00191,CAP004,REST069,النخيل,2026-01-01 17:19:00,41,22,بارد,كثيف,130.6,delivered,17,Thursday,0,0
ORD000060,CUST04667,CAP199,REST067,حطين,2025-11-26 23:53:00,66,36,صافي,شديد الكثافة,140.26,cancelled,23,Wednesday,0,1
ORD000061,CUST04072,CAP011,REST004,الياسمين,2025-07-17 17:38:00,40,20,صافي,كثيف,330.34,delivered,17,Thursday,0,0
ORD000062,CUST04099,CAP108,REST002,الملقا,2025-01-10 13:15:00,60,13,عاصف,كثيف,254.53,delayed,13,Friday,1,1
