restaurant_id,name,cuisine_type,avg_prep_time_min,rating,district,total_orders
REST001,مطعم آل بن لافي,حلويات,28,3.3,الملقا,9750
REST002,مطعم آل الشيخ,مشاوي,15,4.3,الملقا,3879
REST003,مطعم مهنا,مندي,18,3.7,النخيل,6223
REST004,مطعم شربتلي,فراخ,17,3.4,الياسمين,854
REST005,مطعم كانو,مندي,20,3.8,حطين,7345
REST006,مطعم الراشد,فراخ,33,3.6,العليا,3683
REST007,مطعم الشايع,برغر,19,4.0,الياسمين,7962
REST008,مطعم العجلان,برغر,11,3.1,النخيل,6463
REST009,مطعم آل سعود,مندي,9,4.1,النخيل,5951
REST010,مطعم العقيل,فراخ,7,4.0,حطين,7952
REST011,مطعم العقيل,برغر,29,3.0,حطين,2297
REST012,مطعم آل عايض,برغر,33,3.3,النخيل,4516
REST013,مطعم آل معيض,بيتزا,8,3.1,النخيل,6151
REST014,مطعم المهنا,مشاوي,30,3.5,الورود,2676
REST015,مطعم العقيل,برغر,7,4.6,الربوة,8501
REST016,مطعم آل العسكري,برغر,21,4.8,الورود,8307
REST017,مطعم آل حسين,حلويات,14,3.7,السليمانية,842
REST018,مطعم المهنا,سوشي,10,2.9,النخيل,6270
REST019,مطعم المغاولة,بيتزا,6,3.0,النخيل,7954
REST020,مطعم آل حسين,مشاوي,23,4.0,الملقا,3404
REST021,مطعم أبو داوود,مشاوي,32,2.7,حطين,3649
REST022,مطعم بن لادن,مندي,27,4.4,الملقا,7848
REST023,مطعم آل معيض,مشاوي,8,3.6,الورود,2482
REST024,مطعم آل الشيخ,برغر,29,3.8,الملقا,3800
REST025,مطعم آل حسين,بيتزا,33,4.8,العليا,2440
REST026,مطعم العقيل,برغر,13,3.2,الملقا,3355
REST027,مطعم العجلان,سوشي,19,3.9,السليمانية,1677
REST028,مطعم المغاولة,مشاوي,20,4.8,المروج,963
REST029,مطعم الشايع,فراخ,16,3.1,السليمانية,5319
REST030,مطعم كانو,برغر,5,4.5,العليا,8502
REST031,مطعم آل سعود,برغر,15,3.8,الورود,6312
REST032,مطعم آل جعفر,فراخ,33,4.6,المروج,1201
REST033,مطعم المغاولة,بيتزا,23,4.3,الياسمين,2414
REST034,مطعم آل معيض,حلويات,8,4.5,حطين,6669
REST035,مطعم آل عواض,برغر,15,4.2,النخيل,4321
REST036,مطعم بن لادن,مندي,28,2.7,الياسمين,4792
REST037,مطعم حجار,برغر,22,2.7,السليمانية,8644
REST038,مطعم آل بن لافي,برغر,14,3.8,المروج,7675
REST039,مطعم آل محمد بن علي بن جماز,مندي,9,4.4,السليمانية,6019
REST040,مطعم العجلان,فراخ,8,3.3,حطين,7143
REST041,مطعم شربتلي,برغر,11,4.7,الشهداء,8139
REST042,مطعم شربتلي,فراخ,10,3.4,الورود,9695
REST043,مطعم آل عطفة,بيتزا,33,5.0,حطين,2084
REST044,مطعم فصيل,مشاوي,5,2.9,العليا,3847
REST045,مطعم آل سلطان,بيتزا,21,3.6,النخيل,9762
REST046,مطعم أبا الخيل,فراخ,28,4.6,الورود,2981
REST047,مطعم الشايع,مندي,20,4.0,النخيل,7457
REST048,مطعم آل عايض,حلويات,8,2.5,حطين,5658
REST049,مطعم آل جعفر,سوشي,13,4.7,النخيل,1584
REST050,مطعم بقشان,مندي,23,2.6,النخيل,9462
REST051,مطعم الشايع,بيتزا,23,4.6,النخيل,7143
REST052,مطعم آل سلطان,مندي,11,2.6,العليا,152
REST053,مطعم آل خضير,بيتزا,5,4.9,الملقا,6179
REST054,مطعم الشايع,مندي,22,3.1,الملقا,9606
REST055,مطعم آل عايض,بيتزا,33,4.2,المروج,1853
REST056,مطعم آل حسين,بيتزا,35,2.6,الورود,1332
REST057,مطعم آل علي,مشاوي,26,4.0,المروج,6624
REST058,مطعم الحجار,مندي,12,3.9,الربوة,9854
REST059,مطعم الجفالي,فراخ,33,3.1,الملقا,9619
REST060,مطعم فصيل,سوشي,9,3.1,النخيل,5153
REST061,مطعم آل حسين,سوشي,19,4.4,النخيل,8139
REST062,مطعم أبا الخيل,حلويات,35,4.5,الياسمين,3704
REST063,مطعم آل قصير,فراخ,20,4.2,حطين,6211
REST064,مطعم أبو داوود,مندي,23,4.3,حطين,4431
REST065,مطعم آل جعفر,سوشي,21,3.2,السليمانية,5967
REST066,مطعم آل الشيخ,مندي,13,2.9,العليا,920
REST067,مطعم آل خضير,بيتزا,35,3.6,حطين,7451
REST068,مطعم الراشد,حلويات,31,4.6,الملقا,6502
REST069,مطعم المغاولة,برغر,19,4.0,النخيل,548
REST070,مطعم آل علي,مشاوي,20,4.0,الياسمين,3664
REST071,مطعم آل عواض,برغر,8,2.6,حطين,3894
REST072,مطعم آل عواض,مشاوي,14,3.1,النخيل,5536
REST073,مطعم المغاولة,مشاوي,31,3.5,العليا,7647
REST074,مطعم مهنا,مندي,33,4.7,حطين,193
REST075,مطعم المغاولة,مندي,22,3.8,المروج,3633
REST076,مطعم آل عواض,فراخ,16,2.9,النخيل,522
REST077,مطعم الدباغ,بيتزا,15,3.2,العليا,8798
REST078,مطعم آل الشيخ,بيتزا,25,3.2,المروج,3201
REST079,مطعم فصيل,بيتزا,14,3.5,المروج,1516
REST080,مطعم آل بن لافي,مشاوي,17,4.1,الملقا,126
